,1 day,7 days,1 month,2 months
NULL,2.14,2.41,3.09,4.61
Affiliate,2.59,2.81,3.4,4.11
Display,2.53,2.95,3.61,4.74
Exclusion,1.59,1.76,2.08,1.87
Natural Search,2.28,2.66,3.63,5.62
Non-IM Mktg Initiatives,1.35,1.37,1.42,1.5
Others,1.18,1.5,2.3,2.2
Paid Search,2.31,2.45,2.7,3.18
Paid Search . Brand,1.41,1.49,1.69,2.01
Paid Social,1.99,2.01,2.19,2.56
Partner Integration,4.95,6.14,10.18,19.07
Partner Integration - Organic,3.28,4.03,6.61,11.42
Social Media,3.23,3.46,4.01,5.02
Unassigned,2.66,2.36,2.91,2.94
epn,10.39,10.91,11.48,8.82
marketing_emails,2.33,2.41,2.63,3.25
site_emails,3.71,4.46,6.49,10.76
